"QUANTILE","GEO","TIME","INDIC_IL","CURRENCY","Value"
"D1","BE","1998","Part du revenu national total équivalent","Euro","4"
"D2","BE","1998","Part du revenu national total équivalent","Euro","5"
"D3","BE","1998","Part du revenu national total équivalent","Euro","7"
"D4","BE","1998","Part du revenu national total équivalent","Euro","7"
"D5","BE","1998","Part du revenu national total équivalent","Euro","8"
"D6","BE","1998","Part du revenu national total équivalent","Euro","10"
"D7","BE","1998","Part du revenu national total équivalent","Euro","11"
"D8","BE","1998","Part du revenu national total équivalent","Euro","12"
"D9","BE","1998","Part du revenu national total équivalent","Euro","14"
"D10","BE","1998","Part du revenu national total équivalent","Euro","22"
"D1","IE","1998","Part du revenu national total équivalent","Euro","3"
"D2","IE","1998","Part du revenu national total équivalent","Euro","5"
"D3","IE","1998","Part du revenu national total équivalent","Euro","6"
"D4","IE","1998","Part du revenu national total équivalent","Euro","7"
"D5","IE","1998","Part du revenu national total équivalent","Euro","8"
"D6","IE","1998","Part du revenu national total équivalent","Euro","9"
"D7","IE","1998","Part du revenu national total équivalent","Euro","10"
"D8","IE","1998","Part du revenu national total équivalent","Euro","12"
"D9","IE","1998","Part du revenu national total équivalent","Euro","14"
"D10","IE","1998","Part du revenu national total équivalent","Euro","27"
"D1","EL","1998","Part du revenu national total équivalent","Euro","2"
"D2","EL","1998","Part du revenu national total équivalent","Euro","4"
"D3","EL","1998","Part du revenu national total équivalent","Euro","5"
"D4","EL","1998","Part du revenu national total équivalent","Euro","7"
"D5","EL","1998","Part du revenu national total équivalent","Euro","8"
"D6","EL","1998","Part du revenu national total équivalent","Euro","9"
"D7","EL","1998","Part du revenu national total équivalent","Euro","11"
"D8","EL","1998","Part du revenu national total équivalent","Euro","13"
"D9","EL","1998","Part du revenu national total équivalent","Euro","16"
"D10","EL","1998","Part du revenu national total équivalent","Euro","26"
"D1","ES","1998","Part du revenu national total équivalent","Euro","2"
"D2","ES","1998","Part du revenu national total équivalent","Euro","5"
"D3","ES","1998","Part du revenu national total équivalent","Euro","6"
"D4","ES","1998","Part du revenu national total équivalent","Euro","7"
"D5","ES","1998","Part du revenu national total équivalent","Euro","8"
"D6","ES","1998","Part du revenu national total équivalent","Euro","9"
"D7","ES","1998","Part du revenu national total équivalent","Euro","10"
"D8","ES","1998","Part du revenu national total équivalent","Euro","13"
"D9","ES","1998","Part du revenu national total équivalent","Euro","16"
"D10","ES","1998","Part du revenu national total équivalent","Euro","25"
"D1","FR","1998","Part du revenu national total équivalent","Euro","3"
"D2","FR","1998","Part du revenu national total équivalent","Euro","5"
"D3","FR","1998","Part du revenu national total équivalent","Euro","6"
"D4","FR","1998","Part du revenu national total équivalent","Euro","7"
"D5","FR","1998","Part du revenu national total équivalent","Euro","8"
"D6","FR","1998","Part du revenu national total équivalent","Euro","9"
"D7","FR","1998","Part du revenu national total équivalent","Euro","11"
"D8","FR","1998","Part du revenu national total équivalent","Euro","12"
"D9","FR","1998","Part du revenu national total équivalent","Euro","15"
"D10","FR","1998","Part du revenu national total équivalent","Euro","22"
"D1","IT","1998","Part du revenu national total équivalent","Euro","3"
"D2","IT","1998","Part du revenu national total équivalent","Euro","5"
"D3","IT","1998","Part du revenu national total équivalent","Euro","6"
"D4","IT","1998","Part du revenu national total équivalent","Euro","7"
"D5","IT","1998","Part du revenu national total équivalent","Euro","8"
"D6","IT","1998","Part du revenu national total équivalent","Euro","10"
"D7","IT","1998","Part du revenu national total équivalent","Euro","11"
"D8","IT","1998","Part du revenu national total équivalent","Euro","13"
"D9","IT","1998","Part du revenu national total équivalent","Euro","15"
"D10","IT","1998","Part du revenu national total équivalent","Euro","23"
"D1","LU","1998","Part du revenu national total équivalent","Euro","4"
"D2","LU","1998","Part du revenu national total équivalent","Euro","6"
"D3","LU","1998","Part du revenu national total équivalent","Euro","7"
"D4","LU","1998","Part du revenu national total équivalent","Euro","8"
"D5","LU","1998","Part du revenu national total équivalent","Euro","8"
"D6","LU","1998","Part du revenu national total équivalent","Euro","9"
"D7","LU","1998","Part du revenu national total équivalent","Euro","11"
"D8","LU","1998","Part du revenu national total équivalent","Euro","12"
"D9","LU","1998","Part du revenu national total équivalent","Euro","14"
"D10","LU","1998","Part du revenu national total équivalent","Euro","21"
"D1","NL","1998","Part du revenu national total équivalent","Euro","4"
"D2","NL","1998","Part du revenu national total équivalent","Euro","6"
"D3","NL","1998","Part du revenu national total équivalent","Euro","7"
"D4","NL","1998","Part du revenu national total équivalent","Euro","8"
"D5","NL","1998","Part du revenu national total équivalent","Euro","8"
"D6","NL","1998","Part du revenu national total équivalent","Euro","9"
"D7","NL","1998","Part du revenu national total équivalent","Euro","11"
"D8","NL","1998","Part du revenu national total équivalent","Euro","12"
"D9","NL","1998","Part du revenu national total équivalent","Euro","14"
"D10","NL","1998","Part du revenu national total équivalent","Euro","21"
"D1","PT","1998","Part du revenu national total équivalent","Euro","2"
"D2","PT","1998","Part du revenu national total équivalent","Euro","4"
"D3","PT","1998","Part du revenu national total équivalent","Euro","5"
"D4","PT","1998","Part du revenu national total équivalent","Euro","6"
"D5","PT","1998","Part du revenu national total équivalent","Euro","7"
"D6","PT","1998","Part du revenu national total équivalent","Euro","9"
"D7","PT","1998","Part du revenu national total équivalent","Euro","10"
"D8","PT","1998","Part du revenu national total équivalent","Euro","12"
"D9","PT","1998","Part du revenu national total équivalent","Euro","16"
"D10","PT","1998","Part du revenu national total équivalent","Euro","28"
"D1","FI","1998","Part du revenu national total équivalent","Euro","4"
"D2","FI","1998","Part du revenu national total équivalent","Euro","6"
"D3","FI","1998","Part du revenu national total équivalent","Euro","7"
"D4","FI","1998","Part du revenu national total équivalent","Euro","8"
"D5","FI","1998","Part du revenu national total équivalent","Euro","9"
"D6","FI","1998","Part du revenu national total équivalent","Euro","10"
"D7","FI","1998","Part du revenu national total équivalent","Euro","11"
"D8","FI","1998","Part du revenu national total équivalent","Euro","12"
"D9","FI","1998","Part du revenu national total équivalent","Euro","14"
"D10","FI","1998","Part du revenu national total équivalent","Euro","19"
"D1","SE","1998","Part du revenu national total équivalent","Euro",":"
"D2","SE","1998","Part du revenu national total équivalent","Euro",":"
"D3","SE","1998","Part du revenu national total équivalent","Euro",":"
"D4","SE","1998","Part du revenu national total équivalent","Euro",":"
"D5","SE","1998","Part du revenu national total équivalent","Euro",":"
"D6","SE","1998","Part du revenu national total équivalent","Euro",":"
"D7","SE","1998","Part du revenu national total équivalent","Euro",":"
"D8","SE","1998","Part du revenu national total équivalent","Euro",":"
"D9","SE","1998","Part du revenu national total équivalent","Euro",":"
"D10","SE","1998","Part du revenu national total équivalent","Euro",":"
"D1","UK","1998","Part du revenu national total équivalent","Euro","3"
"D2","UK","1998","Part du revenu national total équivalent","Euro","5"
"D3","UK","1998","Part du revenu national total équivalent","Euro","6"
"D4","UK","1998","Part du revenu national total équivalent","Euro","7"
"D5","UK","1998","Part du revenu national total équivalent","Euro","8"
"D6","UK","1998","Part du revenu national total équivalent","Euro","9"
"D7","UK","1998","Part du revenu national total équivalent","Euro","11"
"D8","UK","1998","Part du revenu national total équivalent","Euro","13"
"D9","UK","1998","Part du revenu national total équivalent","Euro","15"
"D10","UK","1998","Part du revenu national total équivalent","Euro","24"
