ccyy,hmc_conc_dhi,gini,hmc_wor_conc_dhi,gini_wor
do07,.3497783,.51462657,.34449775,.51462657
ee00,.31017409,.40142855,.32473762,.40142855
fr78,.19926721,.33494829,.20598979,.33494829
fr84,.20389378,.36918448,.20673858,.36918448
fr89,.23746362,.31531671,.24513179,.31531671
fr00,.25399793,.301759,.24772196,.301759
fr05,.20358773,.30289291,.24016536,.30289291
fr10,.20889911,.31821581,.23511921,.31821581
ge10,.32243689,.46457195,.32892509,.46457195
ge13,.31945129,.42054068,.32610366,.42054067
de73,.20057467,.29316116,.21484241,.29316116
de78,.21089472,.29572938,.22843863,.29572938
de83,.21568033,.29365707,.23829544,.29365707
gt06,.31040447,.47796769,.31991173,.47796769
gt14,.23885343,.42038688,.25055883,.42038688
hu91,.17987216,.32256157,.20145725,.32256157
hu94,.18624238,.35293969,.21347384,.35293969
in04,.23682282,.50830749,.23296159,.50830749
in11,.23515875,.52070674,.23633016,.52070674
il92,.28506841,.30784011,.30295288,.30784011
il97,.30859791,.33763663,.32750275,.33763663
il01,.2314975,.35433859,.24661717,.35433859
il05,.24732695,.37314847,.26305645,.37314847
il07,.23343383,.36648898,.2464897,.36648898
il10,.24694044,.38265061,.26667348,.38265061
il12,.22372622,.37062326,.24141238,.37062326
it95,.18421042,.3589941,.,.
it98,.1831362,.36484994,.,.
it00,.18354156,.35320261,.,.
it04,.18037238,.35315325,.,.
it08,.17863544,.34769716,.,.
it10,.18614022,.34160281,.,.
it14,.19822672,.3507081,.22579835,.3507081
mx08,.30821653,.48986765,.3113123,.48986765
mx10,.32330633,.46980488,.33128048,.46980488
mx12,.34430612,.47998708,.34643182,.47998708
pe04,.38270577,.54850295,.37997682,.54850295
pe07,.36967799,.51967985,.36997605,.51967985
pe10,.33376281,.50537141,.33506178,.50537141
pe13,.31211231,.47523734,.3116445,.47523734
pl07,.24568795,.34285245,.26361815,.34285245
pl10,.23636217,.34024549,.25634069,.34024549
pl13,.22742971,.35574616,.24666093,.35574616
ro95,.26133516,.31237029,.25419548,.31237029
ro97,.2644884,.31292756,.24720761,.31292756
ru00,.25702206,.45315807,.25765147,.45315807
rs06,.18308027,.37548029,.1967513,.37548029
rs10,.20433601,.36505467,.21309969,.36505467
rs13,.18983494,.38557969,.1970705,.38557969
si97,.18003758,.26289497,.19039069,.26289497
si99,.17922116,.26920295,.1897967,.26920295
si04,.19826691,.27110776,.21249763,.27110776
si07,.1949997,.27317365,.21246411,.27317365
si10,.20092374,.29522325,.21982434,.29522325
si12,.17909244,.31657192,.20436898,.31657192
za08,.52888879,.6380592,.50647803,.64219131
za10,.4998632,.61553411,.49992848,.6208022
za12,.46127385,.58916862,.46248374,.58629268
kr06,.22062561,.32257025,.23308089,.32257025
kr08,.22604721,.33313777,.23956894,.33313777
kr10,.22779277,.3278055,.24071212,.3278055
kr12,.22497037,.32550068,.23955022,.32550068
es80,.22631846,.33284286,.23007506,.33284286
es85,.23224628,.32352934,.23457553,.32352934
es90,.21497962,.32338032,.21820214,.32338032
ch00,.15838064,.29448254,.19007877,.29448254
ch02,.15964103,.28707947,.19014445,.28707947
ch04,.15527991,.28262631,.185044,.28262631
tw81,.19917147,.27729086,.20283766,.27729086
tw86,.20016497,.28632122,.20932706,.28632122
tw91,.19615223,.28530026,.20480767,.28530026
tw07,.22182464,.32669513,.22889958,.32669513
tw10,.22492695,.33507569,.23327723,.33507569
tw13,.23007671,.32725422,.23826857,.32725422
uk86,.21980653,.33284791,.22822479,.33284791
uk91,.27549354,.35773554,.28112918,.35773554
uk95,.23851487,.36608839,.26378359,.36608839